cultivar	flowcell_lane	filename	PlateID	readMappingIds
ZeaSynDH-2401.fastq	gbsFlowcell	ZeaSynDH-2401.fastq	gbs	23
ZeaSynDH-836.fastq	gbsFlowcell	ZeaSynDH-836.fastq	gbs	24
ZeaSynDH-491.fastq	gbsFlowcell	ZeaSynDH-491.fastq	gbs	25
ZeaSynDH-204.fastq	gbsFlowcell	ZeaSynDH-204.fastq	gbs	26
ZeaSynDH-138.fastq	gbsFlowcell	ZeaSynDH-138.fastq	gbs	27
ZeaSynDH-1523.fastq	gbsFlowcell	ZeaSynDH-1523.fastq	gbs	28
ZeaSynDH-236.fastq	gbsFlowcell	ZeaSynDH-236.fastq	gbs	29
ZeaSynDH-3520.fastq	gbsFlowcell	ZeaSynDH-3520.fastq	gbs	30
ZeaSynDH-272.fastq	gbsFlowcell	ZeaSynDH-272.fastq	gbs	31
ZeaSynDH-253.fastq	gbsFlowcell	ZeaSynDH-253.fastq	gbs	32
ZeaSynDH-1677.fastq	gbsFlowcell	ZeaSynDH-1677.fastq	gbs	33
ZeaSynDH-3.fastq	gbsFlowcell	ZeaSynDH-3.fastq	gbs	34
ZeaSynDH-169.fastq	gbsFlowcell	ZeaSynDH-169.fastq	gbs	35
ZeaSynDH-1199.fastq	gbsFlowcell	ZeaSynDH-1199.fastq	gbs	36
ZeaSynDH-1176.fastq	gbsFlowcell	ZeaSynDH-1176.fastq	gbs	37
ZeaSynDH-566.fastq	gbsFlowcell	ZeaSynDH-566.fastq	gbs	38
ZeaSynDH-2056.fastq	gbsFlowcell	ZeaSynDH-2056.fastq	gbs	39
